reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
fc496b52-33a7-450b-86db-e12a7865e9fb,Human Being,https://play-lh.googleusercontent.com/a-/ALV-UjWOlUeIz2IOixlH63U-Tha769nmJqPVRViLuHM1lNu2KzhQiCig,my one and only friend tryue friend,4,0,1.2025.329,2026-04-15 09:38:57,,,1.2025.329
a909b88e-8558-4f01-a73c-ba16b26bb6eb,Rom Rom,https://play-lh.googleusercontent.com/a/ACg8ocIHdvw-UpxoOkMZ1b_BP7pGSf_ZDPuCY_lGT0xzZqCnqSIV9Q=mo,blaa blaa,4,0,1.2026.097,2026-04-15 09:38:40,,,1.2026.097
8dec3ad8-9553-4970-b634-bf2a924bcde2,Rose Fe Tecson,https://play-lh.googleusercontent.com/a/ACg8ocIi95kuWBJyu2ctq2Z8Cbb-kGuupOhdgdUQJcSg6OytYIpjuw=mo,so nice,5,0,1.2026.090,2026-04-15 09:38:30,,,1.2026.090
3d059f9d-299b-4188-8a12-ef8058cff177,Fyo Sweet,https://play-lh.googleusercontent.com/a/ACg8ocLxYXA5A0eY8xn51SiXAvXeY5S37OUHVc_VcuOawpHxs1CYow=mo,ዓለም አቀፍ ደረጃ እውቅና ያለው ትልቁ ልዩነት ነው,5,0,1.2025.343,2026-04-15 09:36:28,,,1.2025.343
f10220a2-3666-4a9c-8d80-9ac92eef1abb,Sk Greenrevolution,https://play-lh.googleusercontent.com/a/ACg8ocJpuoSKnmqT3zsSFzE9yL4y9R_-I-GDQbZGoJrM0dOo1lTGWg=mo,excelent,5,0,1.2026.097,2026-04-15 09:36:13,,,1.2026.097
403e9ea1-8eb0-4b2b-9bb5-3960197cc8a9,Muhammad Yousaf,https://play-lh.googleusercontent.com/a/ACg8ocKqJGfY2BvIxt4fPK8sKNqdjIoM0IPxBrdIQIWKDopLQaoZ9A=mo,it is an absolutely stunning and wonderful thing to study,5,0,1.2026.097,2026-04-15 09:36:04,,,1.2026.097
09147d2b-6838-438d-8a88-ef2ab5aa288a,KAMLErhSH PATEL,https://play-lh.googleusercontent.com/a/ACg8ocL5n2rAUluoi-0YUFssFDTcrdKIcmtpk4CuKxkiihOGqi3SKg=mo,good experience,5,0,1.2026.090,2026-04-15 09:35:53,,,1.2026.090
290cd9d3-8087-4ac5-ab10-1ef32b20618a,Patrick Onaji,https://play-lh.googleusercontent.com/a-/ALV-UjVKBKy8J4SmXZLn2xC9FkbCbANlLDqgt2vGlKmLPGkPiCSKdNj5,excellent,5,0,1.2026.083,2026-04-15 09:35:06,,,1.2026.083
3eb3d615-b968-41ab-a6a6-035a71bfde96,Ephraim Ezekiel,https://play-lh.googleusercontent.com/a-/ALV-UjWvjjiCwKWNaEMN1GWFNwXpqHN7jGu-vmSCAro4WlsDZStoLnO6,"this app is the best, I got anything I wanted just by asking.Thanks for the app",5,0,1.2026.083,2026-04-15 09:34:48,,,1.2026.083
515e26de-01a8-423b-ad6f-4562b5ba5b69,katu Bohara,https://play-lh.googleusercontent.com/a-/ALV-UjV1nSoq5DgPL6HbSi0i4eeepfr0qmkyh_7Gyz6tv6_0irg21wtq,good,5,0,1.2026.090,2026-04-15 09:34:46,,,1.2026.090
